#pago;PagoIntereses;PagoCapital;SeguroVida;SeguroDaños;Comision;PagoHip;SeguroCasa;PagoTotal;SaldoCredito
Año;1
1;4,558.62;639.30;.00;123.15;290.00;5,611.07;.00;5,611.07;519,152.70
2;4,553.02;644.90;.00;123.15;290.00;5,611.07;.00;5,611.07;518,507.80
3;4,547.36;650.56;.00;123.15;290.00;5,611.07;.00;5,611.07;517,857.24
4;4,541.66;656.26;.00;123.15;290.00;5,611.07;.00;5,611.07;517,200.98
5;4,535.90;662.02;.00;123.15;290.00;5,611.07;.00;5,611.07;516,538.96
6;4,530.09;667.83;.00;123.15;290.00;5,611.07;.00;5,611.07;515,871.13
7;4,524.24;673.68;.00;123.15;290.00;5,611.07;.00;5,611.07;515,197.45
8;4,518.33;679.59;.00;123.15;290.00;5,611.07;.00;5,611.07;514,517.86
9;4,512.37;685.55;.00;123.15;290.00;5,611.07;.00;5,611.07;513,832.31
10;4,506.36;691.56;.00;123.15;290.00;5,611.07;.00;5,611.07;513,140.75
11;4,500.29;697.63;.00;123.15;290.00;5,611.07;.00;5,611.07;512,443.12
12;4,494.17;703.75;.00;123.15;290.00;5,611.07;.00;5,611.07;511,739.37
Año;2
13;4,488.00;709.92;.00;123.15;290.00;5,611.07;.00;5,611.07;511,029.45
14;4,481.78;716.14;.00;123.15;290.00;5,611.07;.00;5,611.07;510,313.31
15;4,475.49;722.43;.00;123.15;290.00;5,611.07;.00;5,611.07;509,590.88
16;4,469.16;728.76;.00;123.15;290.00;5,611.07;.00;5,611.07;508,862.12
17;4,462.77;735.15;.00;123.15;290.00;5,611.07;.00;5,611.07;508,126.97
18;4,456.32;741.60;.00;123.15;290.00;5,611.07;.00;5,611.07;507,385.37
19;4,449.82;748.10;.00;123.15;290.00;5,611.07;.00;5,611.07;506,637.27
20;4,443.26;754.66;.00;123.15;290.00;5,611.07;.00;5,611.07;505,882.60
21;4,436.64;761.28;.00;123.15;290.00;5,611.07;.00;5,611.07;505,121.32
22;4,429.96;767.96;.00;123.15;290.00;5,611.07;.00;5,611.07;504,353.36
23;4,423.23;774.69;.00;123.15;290.00;5,611.07;.00;5,611.07;503,578.67
24;4,416.43;781.49;.00;123.15;290.00;5,611.07;.00;5,611.07;502,797.18
Año;3
25;4,409.58;788.34;.00;123.15;290.00;5,611.07;.00;5,611.07;502,008.84
26;4,402.66;795.26;.00;123.15;290.00;5,611.07;.00;5,611.07;501,213.58
27;4,395.69;802.23;.00;123.15;290.00;5,611.07;.00;5,611.07;500,411.35
28;4,388.65;809.27;.00;123.15;290.00;5,611.07;.00;5,611.07;499,602.08
29;4,381.56;816.36;.00;123.15;290.00;5,611.07;.00;5,611.07;498,785.72
30;4,374.40;823.52;.00;123.15;290.00;5,611.07;.00;5,611.07;497,962.20
31;4,367.17;830.75;.00;123.15;290.00;5,611.07;.00;5,611.07;497,131.45
32;4,359.89;838.03;.00;123.15;290.00;5,611.07;.00;5,611.07;496,293.42
33;4,352.54;845.38;.00;123.15;290.00;5,611.07;.00;5,611.07;495,448.04
34;4,345.13;852.79;.00;123.15;290.00;5,611.07;.00;5,611.07;494,595.24
35;4,337.65;860.27;.00;123.15;290.00;5,611.07;.00;5,611.07;493,734.97
36;4,330.10;867.82;.00;123.15;290.00;5,611.07;.00;5,611.07;492,867.15
Año;4
37;4,322.49;875.43;.00;123.15;290.00;5,611.07;243.47;5,854.54;491,991.72
38;4,314.81;883.11;.00;123.15;290.00;5,611.07;243.47;5,854.54;491,108.61
39;4,307.07;890.85;.00;123.15;290.00;5,611.07;243.47;5,854.54;490,217.76
40;4,299.26;898.66;.00;123.15;290.00;5,611.07;243.47;5,854.54;489,319.10
41;4,291.37;906.55;.00;123.15;290.00;5,611.07;243.47;5,854.54;488,412.55
42;4,283.42;914.50;.00;123.15;290.00;5,611.07;243.47;5,854.54;487,498.05
43;4,275.40;922.52;.00;123.15;290.00;5,611.07;243.47;5,854.54;486,575.54
44;4,267.31;930.61;.00;123.15;290.00;5,611.07;243.47;5,854.54;485,644.93
45;4,259.15;938.77;.00;123.15;290.00;5,611.07;243.47;5,854.54;484,706.16
46;4,250.92;947.00;.00;123.15;290.00;5,611.07;243.47;5,854.54;483,759.16
47;4,242.61;955.31;.00;123.15;290.00;5,611.07;243.47;5,854.54;482,803.85
48;4,234.23;963.69;112.49;123.15;290.00;5,723.56;243.47;5,967.03;481,840.17
Año;5
49;4,225.78;972.14;112.27;123.15;290.00;5,723.34;243.47;5,966.81;480,868.03
50;4,217.26;980.66;112.04;123.15;290.00;5,723.11;243.47;5,966.58;479,887.37
51;4,208.66;989.26;111.81;123.15;290.00;5,722.88;243.47;5,966.35;478,898.10
52;4,199.98;997.94;111.58;123.15;290.00;5,722.65;243.47;5,966.12;477,900.16
