#pago;PagoIntereses;PagoCapital;SeguroVida;SeguroDaños;Comision;PagoHip;SeguroCasa;PagoTotal;SaldoCredito
71;1,353.88;1,170.95;54.92;127.14;290.00;2,996.89;250.77;3,247.66;153,526.94
72;1,343.63;1,181.20;54.51;127.14;290.00;2,996.48;250.77;3,247.25;152,345.74
Año;5
73;1,333.30;1,191.53;54.09;127.14;290.00;2,996.06;250.77;3,246.83;151,154.21
74;1,322.87;1,201.96;53.66;127.14;290.00;2,995.63;250.77;3,246.40;149,952.25
75;1,312.35;1,212.48;53.24;127.14;290.00;2,995.21;250.77;3,245.98;148,739.77
76;1,301.74;1,223.09;52.81;127.14;290.00;2,994.78;250.77;3,245.55;147,516.67
77;1,291.03;1,233.80;52.37;127.14;290.00;2,994.34;250.77;3,245.11;146,282.88
78;1,280.23;1,244.60;51.93;127.14;290.00;2,993.90;250.77;3,244.67;145,038.28
79;1,269.34;1,255.49;51.49;127.14;290.00;2,993.46;250.77;3,244.23;143,782.79
80;1,258.35;1,266.48;51.05;127.14;290.00;2,993.02;250.77;3,243.79;142,516.32
81;1,247.27;1,277.56;50.60;127.14;290.00;2,992.57;250.77;3,243.34;141,238.76
82;1,236.09;1,288.74;50.14;127.14;290.00;2,992.11;250.77;3,242.88;139,950.02
83;1,224.81;1,300.02;49.69;127.14;290.00;2,991.66;250.77;3,242.43;138,650.00
84;1,213.43;1,311.40;49.22;127.14;290.00;2,991.19;250.77;3,241.96;137,338.60
Año;6
85;1,201.96;1,322.87;48.76;127.14;290.00;2,990.73;250.77;3,241.50;136,015.73
86;1,190.38;1,334.45;48.29;127.14;290.00;2,990.26;250.77;3,241.03;134,681.28
87;1,178.70;1,346.13;47.81;127.14;290.00;2,989.78;250.77;3,240.55;133,335.15
88;1,166.92;1,357.91;47.34;127.14;290.00;2,989.31;250.77;3,240.08;131,977.24
89;1,155.04;1,369.79;46.85;127.14;290.00;2,988.82;250.77;3,239.59;130,607.44
90;1,143.05;1,381.78;46.37;127.14;290.00;2,988.34;250.77;3,239.11;129,225.66
91;1,130.95;1,393.88;45.88;127.14;290.00;2,987.85;250.77;3,238.62;127,831.78
92;1,118.75;1,406.08;45.38;127.14;290.00;2,987.35;250.77;3,238.12;126,425.71
93;1,106.45;1,418.38;44.88;127.14;290.00;2,986.85;250.77;3,237.62;125,007.33
94;1,094.04;1,430.79;44.38;127.14;290.00;2,986.35;250.77;3,237.12;123,576.53
95;1,081.51;1,443.32;43.87;127.14;290.00;2,985.84;250.77;3,236.61;122,133.22
96;1,068.88;1,455.95;43.36;127.14;290.00;2,985.33;250.77;3,236.10;120,677.27
Año;7
97;1,056.14;1,468.69;42.84;127.14;290.00;2,984.81;250.77;3,235.58;119,208.58
98;1,043.29;1,481.54;42.32;127.14;290.00;2,984.29;250.77;3,235.06;117,727.04
99;1,030.32;1,494.51;41.80;127.14;290.00;2,983.77;250.77;3,234.54;116,232.53
100;1,017.24;1,507.59;41.26;127.14;290.00;2,983.23;250.77;3,234.00;114,724.94
101;1,004.05;1,520.78;40.73;127.14;290.00;2,982.70;250.77;3,233.47;113,204.15
102;990.74;1,534.09;40.19;127.14;290.00;2,982.16;250.77;3,232.93;111,670.06
103;977.31;1,547.52;39.65;127.14;290.00;2,981.62;250.77;3,232.39;110,122.54
104;963.77;1,561.06;39.10;127.14;290.00;2,981.07;250.77;3,231.84;108,561.48
105;950.11;1,574.72;38.54;127.14;290.00;2,980.51;250.77;3,231.28;106,986.76
106;936.32;1,588.51;37.98;127.14;290.00;2,979.95;250.77;3,230.72;105,398.25
107;922.42;1,602.41;37.42;127.14;290.00;2,979.39;250.77;3,230.16;103,795.84
108;908.40;1,616.43;36.85;127.14;290.00;2,978.82;250.77;3,229.59;102,179.41
Año;8
109;894.25;1,630.58;36.28;127.14;290.00;2,978.25;250.77;3,229.02;100,548.83
110;879.98;1,644.85;35.70;127.14;290.00;2,977.67;250.77;3,228.44;98,903.98
111;865.59;1,659.24;35.11;127.14;290.00;2,977.08;250.77;3,227.85;97,244.74
112;851.06;1,673.77;34.52;127.14;290.00;2,976.49;250.77;3,227.26;95,570.97
113;836.42;1,688.41;33.93;127.14;290.00;2,975.90;250.77;3,226.67;93,882.56
114;821.64;1,703.19;33.33;127.14;290.00;2,975.30;250.77;3,226.07;92,179.37
115;806.73;1,718.10;32.73;127.14;290.00;2,974.70;250.77;3,225.47;90,461.27
116;791.70;1,733.13;32.12;127.14;290.00;2,974.09;250.77;3,224.86;88,728.13
117;776.53;1,748.30;31.50;127.14;290.00;2,973.47;250.77;3,224.24;86,979.83
118;761.23;1,763.60;30.88;127.14;290.00;2,972.85;250.77;3,223.62;85,216.23
119;745.79;1,779.04;30.25;127.14;290.00;2,972.22;250.77;3,222.99;83,437.19
120;730.22;1,794.61;29.62;127.14;290.00;2,971.59;250.77;3,222.36;81,642.59
Año;9
121;714.52;1,810.31;28.98;127.14;290.00;2,970.95;250.77;3,221.72;79,832.28
122;698.67;1,826.16;28.34;127.14;290.00;2,970.31;250.77;3,221.08;78,006.12
123;682.69;1,842.14;27.69;127.14;290.00;2,969.66;250.77;3,220.43;76,163.98
124;666.57;1,858.26;27.04;127.14;290.00;2,969.01;250.77;3,219.78;74,305.72
125;650.31;1,874.52;26.38;127.14;290.00;2,968.35;250.77;3,219.12;72,431.20
126;633.90;1,890.93;25.71;127.14;290.00;2,967.68;250.77;3,218.45;70,540.27
127;617.35;1,907.48;25.04;127.14;290.00;2,967.01;250.77;3,217.78;68,632.79
128;600.66;1,924.17;24.37;127.14;290.00;2,966.34;250.77;3,217.11;66,708.62
129;583.82;1,941.01;23.68;127.14;290.00;2,965.65;250.77;3,216.42;64,767.61
130;566.83;1,958.00;22.99;127.14;290.00;2,964.96;250.77;3,215.73;62,809.61
131;549.70;1,975.13;22.30;127.14;290.00;2,964.27;250.77;3,215.04;60,834.48
132;532.41;1,992.42;21.60;127.14;290.00;2,963.57;250.77;3,214.34;58,842.06
Año;10
133;514.97;2,009.86;20.89;127.14;290.00;2,962.86;250.77;3,213.63;56,832.20
134;497.38;2,027.45;20.18;127.14;290.00;2,962.15;250.77;3,212.92;54,804.75
135;479.64;2,045.19;19.46;127.14;290.00;2,961.43;250.77;3,212.20;52,759.56
136;461.74;2,063.09;18.73;127.14;290.00;2,960.70;250.77;3,211.47;50,696.47
137;443.68;2,081.15;18.00;127.14;290.00;2,959.97;250.77;3,210.74;48,615.32
138;425.47;2,099.36;17.26;127.14;290.00;2,959.23;250.77;3,210.00;46,515.97
139;407.10;2,117.73;16.51;127.14;290.00;2,958.48;250.77;3,209.25;44,398.23
140;388.56;2,136.27;15.76;127.14;290.00;2,957.73;250.77;3,208.50;42,261.97
141;369.87;2,154.96;15.00;127.14;290.00;2,956.97;250.77;3,207.74;40,107.00
142;351.01;2,173.82;14.24;127.14;290.00;2,956.21;250.77;3,206.98;37,933.18
143;331.98;2,192.85;13.47;127.14;290.00;2,955.44;250.77;3,206.21;35,740.33
144;312.79;2,212.04;12.69;127.14;290.00;2,954.66;250.77;3,205.43;33,528.29
Año;11
145;293.43;2,231.40;11.90;127.14;290.00;2,953.87;250.77;3,204.64;31,296.90
146;273.90;2,250.93;11.11;127.14;290.00;2,953.08;250.77;3,203.85;29,045.97
147;254.20;2,270.63;10.31;127.14;290.00;2,952.28;250.77;3,203.05;26,775.34
148;234.33;2,290.50;9.51;127.14;290.00;2,951.48;250.77;3,202.25;24,484.85
149;214.29;2,310.54;8.69;127.14;290.00;2,950.66;250.77;3,201.43;22,174.30
150;194.06;2,330.77;7.87;127.14;290.00;2,949.84;250.77;3,200.61;19,843.54
151;173.67;2,351.16;7.04;127.14;290.00;2,949.01;250.77;3,199.78;17,492.37
152;153.09;2,371.74;6.21;127.14;290.00;2,948.18;250.77;3,198.95;15,120.63
153;132.33;2,392.50;5.37;127.14;290.00;2,947.34;250.77;3,198.11;12,728.13
154;111.39;2,413.44;4.52;127.14;290.00;2,946.49;250.77;3,197.26;10,314.70
155;90.27;2,434.56;3.66;127.14;290.00;2,945.63;250.77;3,196.40;7,880.14
156;68.97;2,455.86;2.80;127.14;290.00;2,944.77;250.77;3,195.54;5,424.27
Año;12
157;47.47;2,477.36;1.93;127.14;290.00;2,943.90;250.77;3,194.67;2,946.92
158;25.79;2,499.04;1.05;127.14;290.00;2,943.02;250.77;3,193.79;447.88
159;3.92;447.88;.16;127.14;290.00;869.10;250.77;1,119.87;.00
