#pago;PagoIntereses;PagoCapital;SeguroVida;SeguroDaños;Comision;PagoHip;SeguroCasa;PagoTotal;SaldoCredito
89;684.99;808.27;27.79;127.14;290.00;1,938.19;250.77;2,188.96;77,460.51
90;677.92;815.34;27.50;127.14;290.00;1,937.90;250.77;2,188.67;76,645.17
91;670.78;822.48;27.21;127.14;290.00;1,937.61;250.77;2,188.38;75,822.69
92;663.58;829.68;26.92;127.14;290.00;1,937.32;250.77;2,188.09;74,993.01
93;656.32;836.94;26.62;127.14;290.00;1,937.02;250.77;2,187.79;74,156.07
94;649.00;844.26;26.33;127.14;290.00;1,936.73;250.77;2,187.50;73,311.81
95;641.61;851.65;26.03;127.14;290.00;1,936.43;250.77;2,187.20;72,460.16
96;634.15;859.11;25.72;127.14;290.00;1,936.12;250.77;2,186.89;71,601.05
Año;5
97;626.64;866.62;25.42;127.14;290.00;1,935.82;250.77;2,186.59;70,734.43
98;619.05;874.21;25.11;127.14;290.00;1,935.51;250.77;2,186.28;69,860.22
99;611.40;881.86;24.80;127.14;290.00;1,935.20;250.77;2,185.97;68,978.36
100;603.68;889.58;24.49;127.14;290.00;1,934.89;250.77;2,185.66;68,088.79
101;595.90;897.36;24.17;127.14;290.00;1,934.57;250.77;2,185.34;67,191.42
102;588.04;905.22;23.85;127.14;290.00;1,934.25;250.77;2,185.02;66,286.21
103;580.12;913.14;23.53;127.14;290.00;1,933.93;250.77;2,184.70;65,373.07
104;572.13;921.13;23.21;127.14;290.00;1,933.61;250.77;2,184.38;64,451.94
105;564.07;929.19;22.88;127.14;290.00;1,933.28;250.77;2,184.05;63,522.75
106;555.94;937.32;22.55;127.14;290.00;1,932.95;250.77;2,183.72;62,585.43
107;547.73;945.53;22.22;127.14;290.00;1,932.62;250.77;2,183.39;61,639.90
108;539.46;953.80;21.88;127.14;290.00;1,932.28;250.77;2,183.05;60,686.10
Año;6
109;531.11;962.15;21.54;127.14;290.00;1,931.94;250.77;2,182.71;59,723.95
110;522.69;970.57;21.20;127.14;290.00;1,931.60;250.77;2,182.37;58,753.38
111;514.20;979.06;20.86;127.14;290.00;1,931.26;250.77;2,182.03;57,774.32
112;505.63;987.63;20.51;127.14;290.00;1,930.91;250.77;2,181.68;56,786.68
113;496.98;996.28;20.16;127.14;290.00;1,930.56;250.77;2,181.33;55,790.41
114;488.27;1,004.99;19.81;127.14;290.00;1,930.21;250.77;2,180.98;54,785.41
115;479.47;1,013.79;19.45;127.14;290.00;1,929.85;250.77;2,180.62;53,771.62
116;470.60;1,022.66;19.09;127.14;290.00;1,929.49;250.77;2,180.26;52,748.96
117;461.65;1,031.61;18.73;127.14;290.00;1,929.13;250.77;2,179.90;51,717.35
118;452.62;1,040.64;18.36;127.14;290.00;1,928.76;250.77;2,179.53;50,676.71
119;443.51;1,049.75;17.99;127.14;290.00;1,928.39;250.77;2,179.16;49,626.96
120;434.32;1,058.94;17.62;127.14;290.00;1,928.02;250.77;2,178.79;48,568.02
Año;7
121;425.06;1,068.20;17.24;127.14;290.00;1,927.64;250.77;2,178.41;47,499.82
122;415.71;1,077.55;16.86;127.14;290.00;1,927.26;250.77;2,178.03;46,422.27
123;406.28;1,086.98;16.48;127.14;290.00;1,926.88;250.77;2,177.65;45,335.28
124;396.76;1,096.50;16.09;127.14;290.00;1,926.49;250.77;2,177.26;44,238.79
125;387.17;1,106.09;15.71;127.14;290.00;1,926.11;250.77;2,176.88;43,132.69
126;377.49;1,115.77;15.31;127.14;290.00;1,925.71;250.77;2,176.48;42,016.92
127;367.72;1,125.54;14.92;127.14;290.00;1,925.32;250.77;2,176.09;40,891.38
128;357.87;1,135.39;14.52;127.14;290.00;1,924.92;250.77;2,175.69;39,756.00
129;347.94;1,145.32;14.11;127.14;290.00;1,924.51;250.77;2,175.28;38,610.67
130;337.91;1,155.35;13.71;127.14;290.00;1,924.11;250.77;2,174.88;37,455.32
131;327.80;1,165.46;13.30;127.14;290.00;1,923.70;250.77;2,174.47;36,289.86
132;317.60;1,175.66;12.88;127.14;290.00;1,923.28;250.77;2,174.05;35,114.21
Año;8
133;307.31;1,185.95;12.47;127.14;290.00;1,922.87;250.77;2,173.64;33,928.26
134;296.93;1,196.33;12.05;127.14;290.00;1,922.45;250.77;2,173.22;32,731.93
135;286.46;1,206.80;11.62;127.14;290.00;1,922.02;250.77;2,172.79;31,525.13
136;275.90;1,217.36;11.19;127.14;290.00;1,921.59;250.77;2,172.36;30,307.77
137;265.25;1,228.01;10.76;127.14;290.00;1,921.16;250.77;2,171.93;29,079.76
138;254.50;1,238.76;10.32;127.14;290.00;1,920.72;250.77;2,171.49;27,841.00
139;243.66;1,249.60;9.88;127.14;290.00;1,920.28;250.77;2,171.05;26,591.40
140;232.72;1,260.54;9.44;127.14;290.00;1,919.84;250.77;2,170.61;25,330.86
141;221.69;1,271.57;8.99;127.14;290.00;1,919.39;250.77;2,170.16;24,059.29
142;210.56;1,282.70;8.54;127.14;290.00;1,918.94;250.77;2,169.71;22,776.59
143;199.34;1,293.92;8.09;127.14;290.00;1,918.49;250.77;2,169.26;21,482.67
144;188.01;1,305.25;7.63;127.14;290.00;1,918.03;250.77;2,168.80;20,177.42
Año;9
145;176.59;1,316.67;7.16;127.14;290.00;1,917.56;250.77;2,168.33;18,860.75
146;165.06;1,328.20;6.70;127.14;290.00;1,917.10;250.77;2,167.87;17,532.55
147;153.44;1,339.82;6.22;127.14;290.00;1,916.62;250.77;2,167.39;16,192.73
148;141.72;1,351.54;5.75;127.14;290.00;1,916.15;250.77;2,166.92;14,841.19
149;129.89;1,363.37;5.27;127.14;290.00;1,915.67;250.77;2,166.44;13,477.81
150;117.95;1,375.31;4.78;127.14;290.00;1,915.18;250.77;2,165.95;12,102.51
151;105.92;1,387.34;4.30;127.14;290.00;1,914.70;250.77;2,165.47;10,715.17
152;93.78;1,399.48;3.80;127.14;290.00;1,914.20;250.77;2,164.97;9,315.68
153;81.53;1,411.73;3.31;127.14;290.00;1,913.71;250.77;2,164.48;7,903.95
154;69.17;1,424.09;2.81;127.14;290.00;1,913.21;250.77;2,163.98;6,479.87
155;56.71;1,436.55;2.30;127.14;290.00;1,912.70;250.77;2,163.47;5,043.32
156;44.14;1,449.12;1.79;127.14;290.00;1,912.19;250.77;2,162.96;3,594.19
Año;10
157;31.46;1,461.80;1.28;127.14;290.00;1,911.68;250.77;2,162.45;2,132.39
158;18.66;1,474.60;.76;127.14;290.00;1,911.16;250.77;2,161.93;657.79
159;5.76;657.79;.23;127.14;290.00;1,080.92;250.77;1,331.69;.00
